-------------------------------
EVs for battle frontier
-------------------------------
110000	30
101000	28
100100	24
100010	22
100001	21
011000	18
010100	14
010010	12
010001	11
001100	0C
001010	0A
001001	09
000110	06
000101	05
000011	03
-----------------
111000	38
110100	34
110010	32
110001	31
101100	2C
101010	2A
101001	29
100110	26
100101	25
100011	23
011100	1C
011010	1A
011001	19
010110	16
010101	15
010011	13
001110	0E
001101	0D
001011	0B
000111	07


00	
01	
02	
03	255-255-0-0-0-0
04	
05	255-0-255-0-0-0		
06	0-255-255-0-0-0		
07	170-170-170-0-0-0
08	
09	255-0-0-255-0-0		
0a	0-255-0-255-0-0		
0b	170-170-0-170-0-0
0c	
0d	170-0-170-170-0-0
0e	
0f	
10	
11	255-0-0-0-255-0
12	0-255-0-0-255-0
13	170-170-0-0-170-0
14	0-0-255-0-255-0
15	170-0-170-0-170-0
16	0-170-170-0-170-0
17	
18	0-0-0-255-255-0
19	170-0-0-170-170-0
1a	0-170-0-170-170-0
1b	
1c	0-0-170-170-170-0
1d	
1e	
1f	
20	
21	255-0-0-0-0-255
22	0-255-0-0-0-255
23	170-170-0-0-0-170
24	0-0-255-0-0-255
25	170-0-170-0-0-170
26	0-170-170-0-0-170
27	
28	
29	170-0-0-170-0-170
2a	0-170-0-170-0-170
2b	
2c	0-0-170-170-0-170
2d	
2e	
2f	
30	0-0-0-0-255-255	
31	170-0-0-0-170-170
32	0-170-0-0-170-170
33	
34	0-0-170-0-170-170
