
882 Emerald Battle Frontier Pokémon Movesets


0, SUNKERN, LAX INCENSE, RELAXED, MEGA DRAIN, HELPING HAND, SUNNY DAY, LIGHT SCREEN, 255-0-0-0-255-0
1, AZURILL, CHERI BERRY, RASH, WATER PULSE, ATTRACT, SING, CHARM, 255-0-0-0-255-0
2, CATERPIE, FOCUS BAND, QUIRKY, TACKLE, STRING SHOT, 255-255-0-0-0-0
3, WEEDLE, FOCUS BAND, QUIRKY, POISON STING, STRING SHOT 255-255-0-0-0-0
4, WURMPLE, LAX INCENSE, QUIRKY, TACKLE, STRING SHOT, POISON STING, 255-255-0-0-0-0
5, RALTS, TWISTEDSPOON, DOCILE, CONFUSION, IMPRISON, DOUBLE TEAM, LIGHT SCREEN, 255-0-0-0-255-0
6, MAGIKARP, FOCUS BAND, HARDY, FLAIL, 255-255-0-0-0-0
7, FEEBAS, FOCUS BAND, LONELY, FLAIL, MIRROR COAT, 255-255-0-0-0-0
8, METAPOD, LAX INCENSE, BASHFUL, HARDEN, 255-0-0-0-0-255
9, KAKUNA, LAX INCENSE, BASHFUL, HARDEN, 255-0-0-0-0-255
10, PICHU, SITRUS BERRY, RASH, SWEET KISS, THUNDER WAVE, ATTRACT, SHOCK WAVE, 255-0-0-0-255-0
11, SILCOONLAX INCENSEBASHFULHARDEN2550000255
12, CASCOONLAX INCENSEBASHFULHARDEN2550000255
13, IGGLYBUFFFOCUS BANDDOCILESWEET KISS, SING, ATTRACT, SEISMIC TOSS2552550000
14, WOOPERSITRUS BERRYDOCILEYAWN, DIG, WATER PULSE, RAIN DANCE2552550000
15,TYROGUEFOCUS BANDDOCILEMACH PUNCH, PROTECT, DOUBLE TEAM, FACADE2552550000
16, SENTRETKING'S ROCKDOCILEQUICK ATTACK, FOLLOW ME, HELPING HAND, ASSIST2552550000
17, CLEFFALAX INCENSESERIOUSSWEET KISS, SING, ATTRACT, METRONOME2550002550
18, SEEDOTFOCUS BANDDOCILEBULLET SEED, BIDE, DEFENSE CURL, ROLLOUT2552550000
19, LOTADLAX INCENSEDOCILERAIN DANCE, WATER PULSE, SUNNY DAY, MEGA DRAIN2550002550
20, POOCHYENAPETAYA BERRYRELAXEDCRUNCH, SWAGGER, ROAR, SAND-ATTACK2550002550
21, SHEDINJALAX INCENSENAIVESHADOW BALL, CONFUSE RAY, SILVER WIND, GRUDGE2550025500
22, MAKUHITASCOPE LENSDOCILEFAKE OUT, SEISMIC TOSS, DETECT, WHIRLWIND2552550000
23, WHISMURCHERI BERRYRELAXEDUPROAR, SWAGGER, BODY SLAM, SMELLINGSALT2552550000
24, ZIGZAGOONSILK SCARFTIMIDHEADBUTT, PIN MISSILE, SWIFT, SAND-ATTACK2552550000
25, ZUBATCHERI BERRYSASSYPOISON FANG, WHIRLWIND, CONFUSE RAY, AERIAL ACE2552550000
26, TOGEPILAX INCENSERELAXEDRETURN, YAWN, WISH, SWEET KISS2552550000
27, SPINARAKLIECHI BERRYQUIRKYSIGNAL BEAM, NIGHT SHADE, SPIDER WEB, SCARY FACE2552550000
28, MARILLMYSTIC WATERGENTLEWATER PULSE, RAIN DANCE, LIGHT SCREEN, RETURN2552550000
29, HOPPIPLAX INCENSELAXMEGA DRAIN, LEECH SEED, SLEEP POWDER, STUN SPORE0025500255
30, SLUGMASITRUS BERRYSASSYEMBER, ROCK SLIDE, YAWN, BODY SLAM170017000170
31, SWINUBSITRUS BERRYGENTLEICY WIND, DIG, ROCK TOMB, ENDURE0255002550
32, SMEARGLEKING'S ROCKHARDYEXTREMESPEED, FAKE OUT, QUICK ATTACK, MACH PUNCH2552550000
33, PIDGEYSHARP BEAKLONELYGUST, SAND-ATTACK, WHIRLWIND, QUICK ATTACK2552550000
34, RATTATAKING'S ROCKDOCILEHYPER FANG, PURSUIT, QUICK ATTACK, SWAGGER2552550000
35, WYNAUTLAX INCENSEJOLLYENCORE, COUNTER, MIRROR COAT, CHARM0025500255
36, SKITTYBRIGHTPOWDERDOCILESING, ATTRACT, CHARM, DOUBLESLAP2552550000
37, SPEAROWLIECHI BERRYDOCILEFURY ATTACK, PURSUIT, MIRROR MOVE, PROTECT2550025500
38, HOOTHOOTPERSIM BERRYQUIRKYCONFUSION, HYPNOSIS, SUPERSONIC, REFLECT2550002550
39, DIGLETTKING'S ROCKNAIVEMAGNITUDE, SLASH, ROCK TOMB, SAND-ATTACK0255025500
